,Id,Probability
0,3636,0.4491324895
1,3637,0.118369874
2,3638,0.6178550824
3,3639,0.035406822
4,3640,0.1208186711
5,3641,0.6921126178
6,3642,0.1185901912
7,3643,0.5639376775
8,3644,0.1966537854
9,3645,0.218707219
10,3646,0.6416756942
11,3647,0.7709115243
12,3648,0.1553187856
13,3649,0.087366277
14,3650,0.1380058118
15,3651,0.0753065249
16,3652,0.0148639868
17,3653,0.1390884556
18,3654,0.0769808252
19,3655,0.5739444735
20,3656,0.3992062818
21,3657,0.8241914222
22,3658,0.1139411379
23,3659,0.0592854766
24,3660,0.4218076507
25,3661,0.0338148293
26,3662,0.4237233482
27,3663,0.0484265135
28,3664,0.1166127352
29,3665,0.1548657409
30,3666,0.1299210745
31,3667,0.0599833171
32,3668,0.816328818
33,3669,0.0256706813
34,3670,0.7846766406
35,3671,0.4042845023
36,3672,0.2016286774
37,3673,0.7225869211
38,3674,0.0238333072
39,3675,0.7079190127
40,3676,0.6574717309
41,3677,0.516074729
42,3678,0.8132644385
43,3679,0.0872256599
44,3680,0.5686125895
45,3681,0.3040678375
46,3682,0.1330646828
47,3683,0.0849094494
48,3684,0.0174527724
49,3685,0.4513785953
50,3686,0.1391360135
51,3687,0.4045036036
52,3688,0.0051904816
53,3689,0.4770847926
54,3690,0.1471580781
55,3691,0.0139600172
56,3692,0.3166226725
57,3693,0.067344503
58,3694,0.4635680875
59,3695,0.7343914005
60,3696,0.6860898611
61,3697,0.3150232271
62,3698,0.4667867881
63,3699,0.3462490818
64,3700,0.1063744799
65,3701,0.1278679601
66,3702,0.3536329103
67,3703,0.8831909984
68,3704,0.4567957283
69,3705,0.3252544893
70,3706,0.1471041057
71,3707,0.2291023443
72,3708,0.8381744462
73,3709,0.037723809
74,3710,0.0265194895
75,3711,0.4966599052
76,3712,0.5627623963
77,3713,0.7696583686
78,3714,0.0100641687
79,3715,0.5997275971
80,3716,0.1339733652
81,3717,0.4847850921
82,3718,0.016845916
83,3719,0.0534558649
84,3720,0.0383520947
85,3721,0.0305216572
86,3722,0.101133479
87,3723,0.1363512664
88,3724,0.1685197422
89,3725,0.0905934259
90,3726,0.5426634091
91,3727,0.0490208046
92,3728,0.6268004155
93,3729,0.5760385495
94,3730,0.7124936083
95,3731,0.0813072913
96,3732,0.5545390426
97,3733,0.2166104808
98,3734,0.3641948702
99,3735,0.680273249
100,3736,0.0947673528
101,3737,0.3726129844
102,3738,0.8300937186
103,3739,0.485238943
104,3740,0.2789061213
105,3741,0.7048068244
106,3742,0.8253431305
107,3743,0.5744095219
108,3744,0.2810986847
109,3745,0.0440097922
110,3746,0.1087857664
111,3747,0.5322550854
112,3748,0.0325221101
113,3749,0.138233454
114,3750,0.4898311946
115,3751,0.0191353556
116,3752,0.1157882489
117,3753,0.4192108894
118,3754,0.067871738
119,3755,0.1361927914
120,3756,0.0128824782
121,3757,0.489038279
122,3758,0.7243018633
123,3759,0.3679555571
124,3760,0.1903794051
125,3761,0.0943526827
126,3762,0.0527763608
127,3763,0.847547747
128,3764,0.731031453
129,3765,0.0675281823
130,3766,0.7713514644
131,3767,0.5020989997
132,3768,0.7012945845
133,3769,0.0169238704
134,3770,0.8313917703
135,3771,0.3124959686
136,3772,0.2528111708
137,3773,0.2674933696
138,3774,0.2539968442
139,3775,0.0084686467
140,3776,0.3189912451
141,3777,0.4639053939
142,3778,0.6260938786
143,3779,0.4175340897
144,3780,0.3642505184
145,3781,0.3044478063
146,3782,0.0085745967
147,3783,0.4567953577
148,3784,0.1268019647
149,3785,0.0572094266
150,3786,0.0230518994
151,3787,0.8027404294
152,3788,0.6331292563
153,3789,0.2707829439
154,3790,0.4462730715
